verb_root_ar,verb_root_translit,verb_meaning_en,tense,person_code,pronoun_ar,pronoun_translit,arabic,translit,english,audio_path
أروح,arūḥ,To Go,past,1s,أنا,ana,رحت,ruḥt,I went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_1s.mp3
أروح,arūḥ,To Go,past,2sm,إنتَ,inta,رحت,ruḥt,You went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_2sm.mp3
أروح,arūḥ,To Go,past,2sf,إنتِ,inti,رحتي,ruḥti,You went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_2sf.mp3
أروح,arūḥ,To Go,past,3sm,هو,huwwa,راح,rāḥ,He went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_3sm.mp3
أروح,arūḥ,To Go,past,3sf,هي,hiyya,راحت,rāḥat,She went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_3sf.mp3
أروح,arūḥ,To Go,past,1p,إحنا,iḥna,رحنا,ruḥna,We went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_1p.mp3
أروح,arūḥ,To Go,past,2p,أنتم,antum,رحتوا,ruḥtu,You (all) went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_2p.mp3
أروح,arūḥ,To Go,past,3p,هم,hum,راحوا,rāḥu,They went,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_past_3p.mp3
أروح,arūḥ,To Go,present,1s,أنا,ana,أروح,arūḥ,I go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_1s.mp3
أروح,arūḥ,To Go,present,2sm,إنتَ,inta,تروح,tirūḥ,You go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_2sm.mp3
أروح,arūḥ,To Go,present,2sf,إنتِ,inti,تروحي,tirūḥi,You go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_2sf.mp3
أروح,arūḥ,To Go,present,3sm,هو,huwwa,يروح,yirūḥ,He goes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_3sm.mp3
أروح,arūḥ,To Go,present,3sf,هي,hiyya,تروح,tirūḥ,She goes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_3sf.mp3
أروح,arūḥ,To Go,present,1p,إحنا,iḥna,نروح,nirūḥ,We go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_1p.mp3
أروح,arūḥ,To Go,present,2p,أنتم,antum,تروحوا,tirūḥu,You (all) go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_2p.mp3
أروح,arūḥ,To Go,present,3p,هم,hum,يروحوا,yirūḥu,They go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_present_3p.mp3
أروح,arūḥ,To Go,future,1s,أنا,ana,حأروح,ḥa-arūḥ,I will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_1s.mp3
أروح,arūḥ,To Go,future,2sm,إنتَ,inta,حتروح,ḥa-tirūḥ,You will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_2sm.mp3
